case,mode,mean,median,std,PC1,PC2,PC3,PC4,PC5,outcome
1,255,134.5778,127,59.35747,-8379016,5079.331,-2848.57,3132.174,2222.839,1
2,0,98.55443,107,59.35805,-8388972,2967.549,4170.959,-4208.68,63.80781,1
3,173,174.381,173,38.8598,-8368780,7818.982,-2395.17,6411.324,3228.555,1
4,203,153.391,168,50.8704,-8372797,4499.332,2578.837,-2108.75,1306.474,1
5,129,125.9355,125,58.25853,-8381003,6453.281,-1341.83,-1691.99,-1506.81,1
6,151,144.2997,145,49.52418,-8375883,5112.209,-1812.78,-1542.05,2948.385,1
7,235,190.8184,211,56.88849,-8362372,7517.391,-2839.05,3285.417,-6243.97,1
8,255,105.1015,94,51.28291,-8388577,2283.556,-7346.34,4665.857,390.7993,1
9,0,142.7927,159,76.95546,-8374273,5418.559,9689.161,-3627.48,-4245.73,1
10,212,180.305,189,41.659,-8366763,11075,-2222.25,1587.596,4761.343,1
11,224,160.3169,171,49.88537,-8371273,8798.677,-3517.39,500.7853,-3160.51,1
12,151,150.22,149,39.49164,-8375287,1321.62,-5548.95,4800.132,4428.675,1
13,0,162.6987,176,69.06565,-8369402,8804.985,-1051.04,-7486.71,-1287.37,1
14,0,132.7844,140,57.75,-8378836,7140.578,-2518.47,-2742.78,-6208.56,1
15,191,154.0436,167,34.97981,-8374346,5778.356,-6833.34,4645.014,-714.785,1
16,255,207.5911,225,51.88371,-8359568,13520.32,-9527.03,8538.495,-87.8516,1
17,255,143.5624,138,43.927,-8377476,5364.432,-7056.5,3063.065,2914.413,1
18,202,154.3658,171,47.13375,-8373620,10500.65,-2684.69,1594.801,-141.647,1
19,243,176.9204,179,51.39798,-8366173,5494.048,2485.68,-898.445,5335.341,1
20,212,175.3359,192,43.44897,-8368488,13009.01,-2630.94,2869.821,3983.397,1
21,236,180.0809,190,54.31174,-8365615,11442.58,2067.741,-2429.74,2689.262,1
22,155,121.4562,128,39.85537,-8383146,-946.722,-1527.65,5166.403,-2841.14,1
23,27,151.0089,154,56.46264,-8373658,6928.374,4762.747,854.6935,-1864.68,1
24,133,100.9573,106,44.71004,-8388701,4478.448,-3664.79,-1443.16,-3984.73,1
25,160,165.566,166,48.82834,-8369613,4858.136,2600.266,5550.276,-300.947,1
26,248,186.79,191,52.38169,-8363852,8671.3,-2675.92,1590.123,2983.72,1
27,0,121.14,137,58.86114,-8382191,2747.146,-397.803,1655.605,-5954.12,1
28,164,165.3076,164,45.4176,-8369870,4743.637,-5121.17,-1932.32,2203.709,1
29,176,146.6733,161,51.04275,-8375049,4959.207,3319.4,2272.971,-4988.65,1
30,27,141.0792,144,56.48228,-8376904,6315.93,2973.455,2905.611,-3422.87,1
31,178,146.6401,160,49.92027,-8375210,4733.036,-1472.27,1520.689,-3699.55,1
32,183,126.9268,140,49.59196,-8381358,9255.543,-1300.92,273.569,1969.772,1
33,163,155.8064,162,55.75983,-8372194,6063.06,4015.261,772.8532,-2664.41,1
34,194,140.8051,144,43.24879,-8377670,8516.249,-2598.83,2959.327,2060.095,1
35,0,127.0732,145,64.04856,-8381399,7173.952,4572.979,8.926243,-1909.93,1
36,192,150.5689,162,46.67812,-8374505,8185.951,76.92899,1402.834,3529.207,1
37,0,162.3322,166,69.51702,-8370822,13167.24,5518.274,1494.469,-2352.4,1
38,155,154.3347,152,33.50996,-8373710,4937.373,-2488.46,4473.657,129.0379,1
39,0,179.4944,198,68.4392,-8365580,5781.371,-2437.62,-7116.56,7239.616,1
40,2,145.0405,156,57.89597,-8375312,6435.219,-480.849,-6868.43,5034.188,1
41,27,77.68116,74,49.2392,-8396949,-1421.53,2602.941,2860.683,8700.223,1
42,203,160.6827,171,43.94854,-8371973,10964.92,65.57049,336.2346,1637.705,1
43,0,158.3833,175,77.09352,-8370687,5210.668,-773.165,-11685.8,8200.062,1
44,1,91.4023,96,71.46013,-8392233,5449.778,12855.23,4188.876,6007.873,1
45,201,149.8779,163,42.93357,-8374635,5609.382,-3539.98,2602.255,-1334.71,1
46,0,148.4289,165,79.01293,-8372806,6573.387,10327.16,-847.815,-2967.98,1
47,195,156.4179,167,44.06411,-8372666,3916.614,-3220.01,2089.844,1736.14,1
48,0,109.5945,106,74.49907,-8388521,10551.45,-8129.84,1355.402,10255.42,1
49,1,105.534,114,46.1564,-8386923,3527.387,-628.868,-3622.57,-2102.85,1
50,172,152.2694,162,41.39896,-8374249,7204.972,-3684.89,2573.26,-814.484,1
51,244,155.0998,157,71.2508,-8372483,12396.82,-5434.28,-7090.38,2361.234,1
52,180,134.8352,143,40.82292,-8378785,4058.436,-49.3193,-1096.59,1835.055,1
53,187,149.6719,157,40.46583,-8374877,7828.759,-2145.29,787.968,131.9804,1
54,0,149.1434,157,79.29709,-8374047,13199.92,-3922,-11767.6,2792.545,1
55,180,153.0012,156,33.4076,-8374435,4353.42,-4656.74,4550.103,1816.522,1
56,0,145.7438,158,46.31014,-8375921,8248.114,-371.139,-26.4,-1238.95,1
57,0,147.9503,168,82.41466,-8373513,13015.91,7462.629,-9004.13,374.5851,1
58,207,142.7751,152,55.27046,-8378470,12921.59,-2740.96,1120.961,-53.766,1
59,174,147.9823,164,40.55794,-8375602,7932.792,-2046.92,185.0396,-103.148,1
60,0,159.8644,174,73.63045,-8370167,12175.27,5408.092,-5272.66,-523.32,1
61,208,152.803,166,47.0301,-8374301,9005.039,-4379.65,3088.544,731.9553,1
62,195,147.1123,160,46.77757,-8375551,9710.654,482.1322,-826.423,1908.92,1
63,223,145.4343,154,59.13623,-8375065,9298.316,1570.428,-6461.1,1897.432,1
64,1,147.2298,165,69.87535,-8373701,4051.756,5909.525,-8048.65,512.6763,1
65,0,135.2976,144,55.8372,-8379213,2320.667,2342.083,9892.843,-1508.35,1
66,239,146.6112,142,68.6514,-8373877,5763.039,5676.635,100.9437,-396.638,1
67,0,107.2892,125,70.6258,-8386514,3814.537,12380.16,5859.246,-2550.1,1
