case,mode,mean,median,std,PC1,PC2,PC3,PC4,PC5,outcome
1,6,146.75,157,69.354,-8.17E+06,-5952.4,-7854.6,6404.1,-4392.4,1
2,1,130.81,132,65.605,-8.17E+06,-7034.9,-10036,-232.86,2896.2,1
3,209,157.35,159,50.626,-8.16E+06,-8462,-1346.9,-4989.9,-3365.9,1
4,3,61.465,68,27.207,-8.19E+06,-3726.4,-3201.7,686.64,-2723.2,1
5,113,150.03,147,47.349,-8.17E+06,-10435,-1492.7,-4213.9,-831.88,1
6,226,147.59,157,65.182,-8.17E+06,-1221.4,-1914.1,8511.9,-3899.9,1
7,86,118.4,116,33.778,-8.18E+06,-6301.4,-721.53,-2511.1,-994.86,1
8,0,131.09,143,63.366,-8.17E+06,-4643,-8861.6,-4511.7,75.169,1
9,207,152.44,158,60.677,-8.17E+06,-9864.6,2733.4,2610.9,177.18,1
10,250,158.67,164,61.092,-8.16E+06,-5385.3,-3074.3,5277.6,-1361.4,1
11,165,136.63,145,32.335,-8.17E+06,-9021.6,1423.3,256.98,-631.11,1
12,233,144.24,140,60.84,-8.17E+06,-6454.4,-4357.1,-5981,1304.2,1
13,137,153.86,151,53.676,-8.16E+06,-1853.5,5.8359,3782.2,-1974.9,1
14,189,167.58,175,35.469,-8.16E+06,-8210.8,4010,-2012.1,1806,1
15,4,147.29,163,58.154,-8.17E+06,-5677.1,-5591.8,3049.1,-1839.4,1
16,140,149.64,146,54.498,-8.17E+06,-2823.4,-4793.1,-3123.7,2133.1,1
17,214,151.51,171,57.719,-8.17E+06,-10836,706.12,-449.96,754.7,1
18,253,147.27,146,83.808,-8.17E+06,-9449.8,-11932,-2869.9,2371.7,1
19,188,179.96,185,33.545,-8.16E+06,-9024.4,8655.8,-4917.2,175.03,1
20,215,139.49,145,52.536,-8.17E+06,-11774,-2747.2,-538.97,-1195.7,1
21,199,149.41,157,61.834,-8.17E+06,-5631.1,-1105.8,2154.9,4858.4,1
22,209,170.85,193,50.851,-8.16E+06,-11900,3863.9,-3814.4,234.72,1
23,27,135.92,140,58.827,-8.17E+06,-2956.5,-7750.6,-256.63,179.69,1
24,238,184.91,187,36.239,-8.16E+06,-8096.2,1564.9,-3714.3,-3675.4,1
25,210,177.35,194,43.962,-8.16E+06,-10808,3232.5,-1644.1,-1228.2,1
26,0,97.159,91,64.54,-8.18E+06,-5146.2,-10378,-2483.7,2256.5,1
27,202,165.69,187,51.177,-8.16E+06,-4779.9,5771.5,-3186.3,7827.8,1
28,200,160.4,176,50.447,-8.16E+06,-12593,2358.7,-1948,-3581.8,1
29,0,119.53,121,60.202,-8.18E+06,-3176.4,5366.7,5207.2,-9279.6,1
30,202,161.37,173,56.439,-8.16E+06,-13185,3811.3,3785.6,2946.3,1
31,24,161.84,173,62.182,-8.16E+06,-4116.8,-2835.1,4703.6,-4330.6,1
32,193,151.51,156,38.684,-8.17E+06,-5051.9,-1721.8,-2362.7,2187.8,1
33,3,131.03,142,54.371,-8.17E+06,-826.69,-1943.7,3472.9,3056.4,1
34,184,164.22,174,29.111,-8.16E+06,-8266,6307.9,-1958.6,190.68,1
35,0,101.84,113,67.69,-8.18E+06,-5110.1,-10266,3212.7,3208,1
36,220,170.6,172,37.683,-8.16E+06,-11822,2168.1,-1219,-2021.5,1
37,0,121.19,130,59.617,-8.17E+06,-779.35,6581.5,7346.6,-5409.9,1
38,244,190.34,204,51.341,-8.15E+06,-8802.1,-1458.4,-1871.9,2681.8,1
39,226,178.07,179,35.786,-8.16E+06,-11014,1146.8,-2505.6,-2503.8,1
40,0,169.83,195,76.398,-8.16E+06,-1543.9,5428.8,8956.1,3791.1,1
41,195,147.24,159,48.448,-8.17E+06,-8352.9,5464.3,-552.35,-227.21,1
42,196,139.88,149,49.955,-8.17E+06,-11513,-1552.8,1729,-3626,1
43,0,176.17,200,68.169,-8.16E+06,-6404.3,3937.2,-2488.2,7568.9,1
44,177,121.18,123,41.71,-8.17E+06,-1344.4,4183.5,1094,3573,1
45,178,150.02,166,41.099,-8.17E+06,-10001,530.66,798.47,-1142.6,1
46,214,152.83,168,60.747,-8.16E+06,-5335.2,2635.4,5225.2,7236.8,1
47,186,152.29,165,36.673,-8.17E+06,-8994.9,5448.7,-1792.3,-236.04,1
48,0,158.01,180,76.278,-8.16E+06,-7134,-3319.2,11231,3682.7,1
49,0,102.01,118,71.77,-8.18E+06,4382.4,-5557.7,-5177.4,4438.7,1
50,220,157.96,172,59.134,-8.16E+06,-15819,265.41,548.59,605.17,1
51,0,153.84,177,73.882,-8.16E+06,-7047.2,-398.68,12787,-34.814,1
52,0,137.78,150,57.166,-8.17E+06,3028.5,-2760.2,-4930.9,566.32,1
53,230,187.93,184,27.094,-8.16E+06,-8691.2,3559.8,-2545.9,-3857.5,1
54,4,142,150,58.167,-8.17E+06,-1574.3,4622.5,7082.8,1002.6,1
55,0,99.483,116,72.701,-8.18E+06,3898.1,-6457.4,-5014.5,4646.9,1
56,224,192.25,200,30.268,-8.16E+06,-11496,3810.8,-1475.4,-5106.4,1
57,254,158.82,168,66.072,-8.16E+06,-2974,1699.1,4012.5,5991.7,1
58,0,137.27,150,57.826,-8.17E+06,3626.3,-2382,-4497,427.55,1
59,236,162.44,184,68.997,-8.16E+06,-15471,-1543.2,-2300.9,-6130.4,1
60,254,187.19,200,61.373,-8.16E+06,-9203.7,1581.8,875.37,879.64,1
61,187,181.94,187,29.604,-8.16E+06,-9862.7,6778.6,-4203.9,-1306.9,1
62,0,148.18,153,73.501,-8.16E+06,-763.3,-10163,-2222.4,-1454.6,1
63,188,157.99,168,45.028,-8.16E+06,-4676,8091.2,-1867.9,1207.7,1
64,201,155.51,167,44.355,-8.17E+06,-10041,2334.7,-863.69,55.229,1
65,0,114.9,134,93.377,-8.17E+06,-3626.7,-19136,-2526.5,-145.28,1
66,84,135.39,136,47.825,-8.17E+06,-8679.8,5685.5,-3407.3,3186.1,1
67,203,157.01,163,42.632,-8.16E+06,-9072.1,-431.23,883.01,1323.2,1
68,0,138.9,138,66.005,-8.17E+06,-5312.7,-4180.2,4840.7,-4595.3,1
69,206,141.67,146,51.938,-8.17E+06,-10657,1076.8,-335.57,835.94,1
70,201,158.67,160,32.977,-8.16E+06,-7831.3,2277.3,-689.33,-1623.1,1
71,0,163.12,174,71.795,-8.16E+06,-4532.9,-3390,6097.3,-6854.8,1
72,11,100.68,108,47.502,-8.18E+06,-3708.7,-7325.2,-1597.2,2270.7,1
73,157,152.89,158,43.581,-8.17E+06,-9376.4,-2037,-763.02,-521.74,1
74,205,175.53,178,47.012,-8.16E+06,-6511.9,-2217.4,1578.3,-1172.9,1
75,0,102.41,104,59.089,-8.18E+06,-3459.1,-9759.9,-1947.7,3186.8,1
76,138,148.81,152,40.479,-8.17E+06,-9205.2,-1066.5,-67.258,-2257.8,1
77,200,182.74,194,46.887,-8.16E+06,-10241,-404.22,2243.2,-1997.3,1
78,0,116.49,115,62.211,-8.17E+06,-3994.3,-6902.7,4791.6,-615.07,1
79,173,149.86,167,46.373,-8.17E+06,-6996.6,7741.1,-5352.4,1331,1
80,22,156.35,166,64.537,-8.16E+06,-9930.5,-9667.4,122.44,-3758.2,1
81,159,110.33,121,44.331,-8.18E+06,-2556.5,-3231.5,1465.3,4335.7,1
82,179,146.43,163,48.768,-8.17E+06,-7301.8,9304.9,-4615.7,4171.7,1
83,210,184.31,188,36.715,-8.16E+06,-10224,2419.6,-1443.7,-967.62,1
84,207,146.4,151,49.3,-8.17E+06,-7807.2,-818.14,-42.519,1218.7,1
85,202,150.29,165,51.016,-8.17E+06,-10632,6658.8,728.49,3271.2,1
86,68,65.716,65,21.565,-8.19E+06,-1140.3,1612.5,983.44,-225.65,1
87,115,111.06,112,26.695,-8.18E+06,-5231.9,4428.8,-102.35,-256.94,1
88,205,143.68,146,44.63,-8.17E+06,-9618.5,1612.6,-552.4,-3478.4,1
89,169,175.37,176,46.804,-8.16E+06,-6296.1,-3054.9,-341.39,305.35,1
90,194,158.71,167,36.475,-8.16E+06,-8447.3,1467.8,-2394,-2333.1,1
91,188,164.45,170,55.051,-8.16E+06,-5414.2,-545.99,1955.9,4257.9,1
92,142,153,153,41.458,-8.17E+06,-8140.7,917.97,-141.23,-1242.1,1
93,167,133.06,139,33.547,-8.17E+06,-5371.6,1056,-305.31,-4337.1,1
94,255,150.87,158,64.749,-8.16E+06,-2644.7,-4538.6,2891.9,2421.1,1
95,0,106.92,120,53.345,-8.18E+06,-106.88,1041.4,2576.1,3876.2,1
96,204,157.72,162,43.077,-8.16E+06,-10023,-294.87,-3363.7,-3612.2,1
97,77,57.302,59,18.857,-8.19E+06,-2524.7,-1068.7,-1113.9,1099.1,1
98,114,128.06,123,24.478,-8.17E+06,-4926.5,2538.4,-4068.7,-2266.8,1
99,204,153.12,159,39.862,-8.17E+06,-8105.6,3133.2,-1928.5,-1576.9,1
100,154,150.97,149,52.083,-8.17E+06,-2213.5,466.11,4410.7,-3906.3,1
101,0,117.62,123,54.966,-8.18E+06,1681.1,6067.8,2830.3,-3481.5,0
